model,model_key,type,dataset,emb_type,ami,nmi,ari
microsoft/phi-1,phi_1,unknown,McCloskey1978,static,0.0372553104194202,0.13362547295962615,0.014768234504865514
microsoft/phi-1,phi_1,unknown,McCloskey1978,ctx,0.23933495660307835,0.32690569915516887,0.10759778770029818
microsoft/phi-1,phi_1,unknown,Rosch1975,static,0.04435941974295887,0.08342306325713732,0.019037329719798143
microsoft/phi-1,phi_1,unknown,Rosch1975,ctx,0.32099181049353415,0.34411723471850225,0.1820865189958636
microsoft/phi-1,phi_1,unknown,Rosch1973,static,0.01815435650808047,0.26306507309093624,0.002644669731125244
microsoft/phi-1,phi_1,unknown,Rosch1973,ctx,0.2141948361121418,0.44477953049758573,0.16282835552356964
gpt2-medium,gpt2_medium,decoder,McCloskey1978,static,0.17803464762444537,0.26421406762158217,0.06837504089906882
gpt2-medium,gpt2_medium,decoder,McCloskey1978,ctx,0.008988665599619625,0.12294887412457747,0.0029513564714044997
gpt2-medium,gpt2_medium,decoder,Rosch1975,static,0.3127692878282172,0.33728550469031177,0.17476428165774285
gpt2-medium,gpt2_medium,decoder,Rosch1975,ctx,0.11628074591862579,0.14664871018159217,0.05289598471034228
gpt2-medium,gpt2_medium,decoder,Rosch1973,static,0.18820230756229414,0.400706667026194,0.05839889690972504
gpt2-medium,gpt2_medium,decoder,Rosch1973,ctx,0.04604954404489806,0.31338647949456955,0.038000489276685964
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,McCloskey1978,static,0.05426736498817266,0.14864283671087247,0.01788653546106532
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,McCloskey1978,ctx,0.22738047988110405,0.3192358767637479,0.10854316807738755
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1975,static,0.05393371205574357,0.09396867829995677,0.020482656682385778
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1975,ctx,0.29982572910857225,0.32299070189964535,0.1503375720791054
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1973,static,-0.007634022450445707,0.2437093247725794,-0.00031484163465776715
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1973,ctx,0.3133616363385216,0.5060882058092057,0.18765432098765433
roberta-large,roberta_large,encoder,McCloskey1978,static,0.12491901769452941,0.21796442626081058,0.051896222460010834
roberta-large,roberta_large,encoder,McCloskey1978,ctx,0.30859966060123256,0.389343674576036,0.14828633191461865
roberta-large,roberta_large,encoder,Rosch1975,static,0.3013327556208595,0.32661820253243473,0.17686486360516263
roberta-large,roberta_large,encoder,Rosch1975,ctx,0.3497195014485472,0.37136796953755236,0.19161627537110523
roberta-large,roberta_large,encoder,Rosch1973,static,0.19748503225418276,0.40344819690638134,0.11427425821972735
roberta-large,roberta_large,encoder,Rosch1973,ctx,0.22923182400596845,0.43865775301047566,0.16038404029275202
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,McCloskey1978,static,0.12041918565905714,0.21820779638540252,0.03846195105355518
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,McCloskey1978,ctx,0.2445889675457207,0.3335998227669492,0.13232939253887885
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,Rosch1975,static,0.055811592078463916,0.09408530829411707,0.021182802429481156
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,Rosch1975,ctx,0.3830594267989897,0.4037307835339669,0.2269130393224053
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,Rosch1973,static,0.1351239956134717,0.35278954634509135,0.0682657786565378
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,Rosch1973,ctx,0.3809036077480663,0.5546512180383204,0.2613597540143492
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,McCloskey1978,static,0.05898230213325751,0.16444865771980638,0.018654414051402786
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,McCloskey1978,ctx,0.35506891646309435,0.43159739813830156,0.19538906621672925
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,Rosch1975,static,0.08564978022897088,0.12172040058007788,0.030958932019560185
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,Rosch1975,ctx,0.47350599385090286,0.4912260748560538,0.3202702044978006
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,Rosch1973,static,-0.0452826633637281,0.20282772750059183,-0.01241487932551999
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,Rosch1973,ctx,0.43440255244134096,0.5963328677900601,0.309978021978022
word2vec,word2vec,classic,McCloskey1978,static,0.5515003237537615,0.6052185907166814,0.3214765454190298
word2vec,word2vec,classic,McCloskey1978,ctx,0.5515003237537615,0.6052185907166814,0.3214765454190298
word2vec,word2vec,classic,Rosch1975,static,0.5694088384759998,0.5843853621867536,0.38392706211711297
word2vec,word2vec,classic,Rosch1975,ctx,0.5694088384759998,0.5843853621867536,0.38392706211711297
word2vec,word2vec,classic,Rosch1973,static,0.6697689920769245,0.7659118620522686,0.5263067987700717
word2vec,word2vec,classic,Rosch1973,ctx,0.6697689920769245,0.7659118620522686,0.5263067987700717
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,McCloskey1978,static,0.05371867004192416,0.15380467278351803,0.018242383402245647
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,McCloskey1978,ctx,0.2226566399434619,0.31229983085463436,0.09908413013059787
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,Rosch1975,static,0.07515137348994348,0.1143049044754542,0.024099353893475717
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,Rosch1975,ctx,0.30407905056427614,0.32722321839855717,0.16832226480995896
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,Rosch1973,static,-0.0071250723982903665,0.22901485672953933,-0.002953354373570374
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,Rosch1973,ctx,0.36118165580401723,0.5438694115221475,0.22950819672131148
microsoft/phi-2,phi_2,decoder,McCloskey1978,static,0.059590433978847966,0.16976972209147217,0.017169921515798346
microsoft/phi-2,phi_2,decoder,McCloskey1978,ctx,0.47901260636666776,0.5412468856080164,0.30933475738640515
microsoft/phi-2,phi_2,decoder,Rosch1975,static,0.06520331610836953,0.10387711642801002,0.023450273275096932
microsoft/phi-2,phi_2,decoder,Rosch1975,ctx,0.6441089297252152,0.6560502009204436,0.5025323163346817
microsoft/phi-2,phi_2,decoder,Rosch1973,static,0.025130679273488162,0.2837505743637374,0.01222075192651981
microsoft/phi-2,phi_2,decoder,Rosch1973,ctx,0.7658409401543926,0.8301908253545194,0.6287030941408822
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,McCloskey1978,static,0.04900062705369714,0.144831127915921,0.01718501391514756
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,McCloskey1978,ctx,0.3782842304787061,0.4520499629625202,0.2356209253302074
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,Rosch1975,static,0.04634250249153824,0.08325786284825831,0.01925071656106087
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,Rosch1975,ctx,0.5893171168548257,0.6029372351109203,0.4497960509443337
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,Rosch1973,static,0.00303115682060482,0.254876268846659,0.0004103125213704438
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,Rosch1973,ctx,0.5439047610827287,0.6733900360791643,0.3990975181749812
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,McCloskey1978,static,0.045317140000597333,0.1494431505360288,0.012671597306683319
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,McCloskey1978,ctx,0.3145705977417856,0.3966220346029093,0.18158804189063432
