model,model_key,type,dataset,n_items,k,ami_static,ami_ctx,rho,p
microsoft/phi-1,phi_1,unknown,McCloskey1978,492,18,0.038916126472492915,0.23933495660307835,0.1050089793620304,0.019820347092687842
microsoft/phi-1,phi_1,unknown,Rosch1975,565,10,0.028637605802421678,0.3407544261556803,-0.03837648852592591,0.3625515244797492
microsoft/phi-1,phi_1,unknown,Rosch1973,48,8,0.02321993742041645,0.18322175979956126,-0.04814304614238319,0.7452256066458515
gpt2-medium,gpt2_medium,decoder,McCloskey1978,492,18,0.14056762997031527,0.008988665599619625,0.1742697388027094,0.00010214967864018649
gpt2-medium,gpt2_medium,decoder,Rosch1975,565,10,0.2713113834134489,0.11448250783528335,-0.048654585707763154,0.24824240549240695
gpt2-medium,gpt2_medium,decoder,Rosch1973,48,8,0.18820230756229414,-0.04387244359485876,-0.13214885803417148,0.37059684352161776
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,McCloskey1978,492,18,0.04953053169203152,0.2183383486757928,0.05325934358364067,0.23832590422905303
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1975,565,10,0.04993044074793709,0.3034111123929731,-0.013165095481713228,0.7548495864815183
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1973,48,8,0.01627723827972059,0.2990922284991482,-0.051892335288911906,0.7261286258573936
roberta-large,roberta_large,encoder,McCloskey1978,492,18,0.061354164205347464,0.30217710767203254,0.19822862498022614,9.433232910533814e-06
roberta-large,roberta_large,encoder,Rosch1975,565,10,0.3248768598595736,0.3404456141049836,-0.0862080548743784,0.0405189936010914
roberta-large,roberta_large,encoder,Rosch1973,48,8,0.02704018591886293,0.14209506762359142,-0.08210399855659256,0.5790472211634192
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,McCloskey1978,492,18,0.09643216018292637,0.2611340253747555,0.14256168890518414,0.0015226302434292998
